2023.07.12,21:00,2.06002,2.06172,2.05973,2.06030,3497
2023.07.12,22:00,2.06032,2.06481,2.05946,2.06464,3384
2023.07.12,23:00,2.06463,2.06463,2.06170,2.06248,1658
2023.07.13,00:00,2.06260,2.06362,2.06040,2.06362,148
2023.07.13,01:00,2.06372,2.06442,2.06126,2.06278,916
2023.07.13,02:00,2.06290,2.06362,2.05974,2.06117,1581
2023.07.13,03:00,2.06118,2.06248,2.05812,2.05989,3800
2023.07.13,04:00,2.05989,2.06081,2.05805,2.05873,4777
2023.07.13,05:00,2.05876,2.05955,2.05634,2.05765,4124
2023.07.13,06:00,2.05760,2.05847,2.05526,2.05556,3574
2023.07.13,07:00,2.05556,2.05600,2.05319,2.05439,3259
2023.07.13,08:00,2.05427,2.05484,2.05178,2.05239,4334
2023.07.13,09:00,2.05258,2.05475,2.04842,2.04912,7995
2023.07.13,10:00,2.04912,2.05192,2.04901,2.05090,7903
2023.07.13,11:00,2.05085,2.05530,2.05082,2.05224,7096
2023.07.13,12:00,2.05225,2.05843,2.05220,2.05667,5777
2023.07.13,13:00,2.05664,2.05729,2.05422,2.05536,4724
2023.07.13,14:00,2.05537,2.05683,2.05470,2.05482,4811
2023.07.13,15:00,2.05476,2.05748,2.04895,2.05512,10844
2023.07.13,16:00,2.05510,2.05583,2.04944,2.05030,9838
2023.07.13,17:00,2.05032,2.05490,2.05020,2.05341,8567
2023.07.13,18:00,2.05340,2.05626,2.05299,2.05562,6761
2023.07.13,19:00,2.05561,2.05586,2.05421,2.05472,4997
2023.07.13,20:00,2.05473,2.05541,2.05312,2.05364,3815
2023.07.13,21:00,2.05366,2.05465,2.05242,2.05383,3594
2023.07.13,22:00,2.05401,2.05493,2.05339,2.05401,3149
2023.07.13,23:00,2.05399,2.05487,2.05338,2.05453,1556
2023.07.14,00:00,2.05459,2.05529,2.05183,2.05315,418
2023.07.14,01:00,2.05372,2.05492,2.05360,2.05370,1096
2023.07.14,02:00,2.05366,2.05433,2.05270,2.05389,1747
2023.07.14,03:00,2.05385,2.05442,2.05248,2.05429,4342
2023.07.14,04:00,2.05428,2.05470,2.05135,2.05183,5495
2023.07.14,05:00,2.05183,2.05190,2.04926,2.05088,4487
2023.07.14,06:00,2.05086,2.05095,2.04860,2.04979,3808
2023.07.14,07:00,2.04976,2.05113,2.04972,2.05076,3380
2023.07.14,08:00,2.05078,2.05232,2.05043,2.05059,4467
2023.07.14,09:00,2.05057,2.05545,2.05023,2.05485,6916
2023.07.14,10:00,2.05488,2.05646,2.05377,2.05536,6530
2023.07.14,11:00,2.05531,2.05840,2.05463,2.05832,5079
2023.07.14,12:00,2.05836,2.06009,2.05595,2.05696,4763
2023.07.14,13:00,2.05695,2.05862,2.05514,2.05555,5200
2023.07.14,14:00,2.05558,2.05635,2.05409,2.05460,4580
2023.07.14,15:00,2.05458,2.05645,2.05406,2.05475,7157
2023.07.14,16:00,2.05471,2.05672,2.05254,2.05343,8035
2023.07.14,17:00,2.05419,2.05806,2.05417,2.05595,12455
2023.07.14,18:00,2.05597,2.05713,2.05501,2.05696,6381
2023.07.14,19:00,2.05696,2.05775,2.05630,2.05643,4405
2023.07.14,20:00,2.05643,2.05702,2.05443,2.05447,3216
2023.07.14,21:00,2.05450,2.05607,2.05414,2.05541,2513
2023.07.14,22:00,2.05542,2.05743,2.05527,2.05665,2595
2023.07.14,23:00,2.05666,2.05680,2.05303,2.05458,1674
2023.07.17,00:00,2.05391,2.05753,2.05391,2.05562,256
2023.07.17,01:00,2.05563,2.05809,2.05562,2.05708,1448
2023.07.17,02:00,2.05712,2.05717,2.05543,2.05632,1692
2023.07.17,03:00,2.05631,2.05998,2.05631,2.05990,2662
